country,earthquakes_2025
Afghanistan,191
Albania,3
Algeria,6
Argentina,236
Armenia,2
Australia,13
Azerbaijan,2
Bangladesh,6
Bhutan,1
Bolivia,81
Brazil,9
Burundi,1
Canada,73
Chad,2
Chile,348
China,352
Colombia,71
Costa Rica,14
Croatia,2
Cyprus,9
Democratic Republic of the Congo,9
Djibouti,1
Dominican Republic,15
East Timor,4
Ecuador,47
El Salvador,13
Eritrea,1
Ethiopia,265
Gabon,1
Georgia,1
Greece,40
Greenland,10
Guatemala,31
Honduras,2
Hungary,2
Iceland,13
India,32
Indonesia,305
Iran,155
Iraq,5
Italy,7
Japan,127
Kazakhstan,12
Kyrgyzstan,19
Laos,1
Malawi,2
Malaysia,2
Mexico,70
Mongolia,11
Montenegro,2
Morocco,3
Mozambique,3
Myanmar,141
Nepal,11
New Zealand,47
Nicaragua,8
Norway,1
Oman,1
Pakistan,46
Panama,5
Papua New Guinea,191
Peru,157
Philippines,118
Poland,10
Portugal,1
Puerto Rico,1
Romania,6
Russia,151
Saudi Arabia,6
Solomon Islands,16
South Africa,3
Spain,1
Switzerland,1
Taiwan,55
Tajikistan,79
Thailand,1
Tunisia,2
Turkey,114
Turkmenistan,3
United Arab Emirates,1
United Republic of Tanzania,16
United States of America,72
Uzbekistan,7
Vanuatu,8
Venezuela,23
Vietnam,7
Zimbabwe,1
